x y
1202.3441151117513 1300.662782825189
1502.8546378589458 409.716190787814
906.8933585397522 304.1307548492271
1198.8179773580002 1287.762750871815
1328.1513980423788 602.4703212901313
992.9731030158204 1399.6145443074709
211.20916719425753 1001.9106835445099
897.9114275493569 309.9982543570768
994.1005847485902 1398.068810882512
392.0447111891962 111.30585004769827
1185.2326014339037 1310.7356755256242
186.73253647066963 983.5888986858881
390.9560942390092 88.23539427185399
1006.064432402452 1386.3763876657267
199.45509342723952 986.8872971626326
1298.726538960605 597.5814051398106
1307.1208667139233 585.5339897053755
1504.8753536348859 408.0190270912515
1504.1417494361926 415.47841128978916
1503.1885250658847 391.46803535343855
1511.1741795092873 410.7139756248849
406.48364733316606 112.80027069624232
1212.478327091916 1320.001099515504
197.67288582888787 988.1400088854929
197.54835478691683 1001.7069490758325
1209.4197392559424 1310.5203719781714
1313.1486518779045 610.1888997746019
1298.1964759709551 604.2505670267387
896.7558866631682 298.44262683748155
1496.1927612585964 404.91603410614
1196.185031735871 1292.1183868664273
1203.2921482132097 1302.0817648748616
900.9224779717678 292.3051243863708
1285.9692044520223 608.0930172030615
896.9550975784379 289.48089423885096
1195.7972447523273 1310.3930402133742
403.8570486675104 91.39007928529716
417.26706326963097 110.67510210071889
997.6486281350936 1410.2894783374659
912.4312891842118 316.1263098064205
1196.0372394022365 1302.3223704339628
1005.5496586830025 1412.9094625124674
395.6052836048598 95.69033979168725
196.72455420735218 996.4766114617297
1289.0959066511657 602.7266884687809
990.656919410859 1404.2992898341174
892.6613240089459 288.4679714245446
1002.3773294163515 1396.413030112583
194.74155620565293 1013.5972166021597
416.8889899455741 97.41774437438544
895.2666044390415 304.433486532426
1209.4019252697824 1289.0606887413708
193.70477349066908 990.4428204061312
1493.2805598800733 403.9368525767589
220.30872090963265 1009.8587795873964
411.6866168249583 100.63824543696983
403.56814147374376 100.91031320171795
881.1076628736298 298.0002837832766
1518.5864189945314 394.56321714604707
1294.1017214768262 593.7171375476274
1016.4260120694354 1418.55322299958
1299.5443031044797 597.5655379924689
988.8012305872662 1396.4400514490417
1017.2574747165387 1411.783891955623
1490.0508343638878 402.39220786195096
914.9133552284197 300.39572795043773
197.6269747252025 1002.736150358957
1296.2167216028938 602.8114660284466
397.56357187273454 112.15970001891611
1509.062428715234 410.1911460245485
